Time     	Unsubtracted	Baseline     	Program     	Sample     	Approx.     	Heat Flow
0,5	1,205264	0	150	150,511276	0	1,480999
0,516667	1,317337	0	150	150,373428	0	1,480999
0,533333	1,463661	0	150	150,221176	0	1,480999
0,55	1,656664	0	150	150,077515	0	1,480999
0,566667	1,86365	0	150	149,95253	0	1,480999
0,583333	2,146128	0	150	149,837952	0	1,480999
0,6	2,365967	0	150	149,763519	0	1,480999
0,616667	2,625	0	150	149,70929	0	1,480999
0,633333	2,836364	0	150	149,677429	0	1,480999
0,65	3,027107	0	150	149,666412	0	1,480999
0,666667	3,158177	0	150	149,677124	0	1,480999
0,683333	3,260999	0	150	149,707153	0	1,480999
0,7	3,301817	0	150	149,744522	0	1,480999
0,716667	3,307397	0	150	149,79538	0	1,480999
0,733333	3,275335	0	150	149,853882	0	1,480999
0,75	3,217356	0	150	149,921585	0	1,480999
0,766667	3,126399	0	150	149,995407	0	1,480999
0,783333	3,021952	0	150	150,075974	0	1,480999
0,8	2,889329	0	150	150,161743	0	1,480999
0,816667	2,755787	0	150	150,253647	0	1,480999
0,833333	2,599577	0	150	150,345245	0	1,480999
0,85	2,450922	0	150	150,434998	0	1,480999
0,866667	2,299797	0	150	150,528427	0	1,480999
0,883333	2,132711	0	150	150,6185	0	1,480999
0,9	1,98222	0	150	150,706726	0	1,480999
0,916667	1,820007	0	150	150,794327	0	1,480999
0,933333	1,67778	0	150	150,884399	0	1,480999
0,95	1,527995	0	150	150,97139	0	1,480999
0,966667	1,397985	0	150	151,056854	0	1,480999
0,983333	1,264867	0	150	151,138046	0	1,480999
1	1,15124	0	150	151,217682	0	1,480999
1,016667	1,047006	0	150	151,293961	0	1,480999
1,033333	0,941288	0	150	151,36351	0	1,480999
1,05	0,855485	0	150	151,43396	0	1,480999
1,066667	0,770459	0	150	151,502579	0	1,480999
1,083333	0,701182	0	150	151,566299	0	1,480999
1,1	0,636282	0	150	151,626038	0	1,480999
1,116667	0,585154	0	150	151,686691	0	1,480999
1,133333	0,537556	0	150	151,741211	0	1,480999
1,15	0,503376	0	150	151,795746	0	1,480999
1,166667	0,472657	0	150	151,843536	0	1,480999
1,183333	0,451753	0	150	151,889481	0	1,480999
1,2	0,437347	0	150	151,932068	0	1,480999
1,216667	0,427107	0	150	151,970657	0	1,480999
1,233333	0,423859	0	150	152,004974	0	1,480999
1,25	0,424989	0	150	152,043259	0	1,480999
1,266667	0,429932	0	150	152,075729	0	1,480999
1,283333	0,439536	0	150	152,103607	0	1,480999
1,3	0,45253	0	150	152,132095	0	1,480999
1,316667	0,470397	0	150	152,156296	0	1,480999
1,333333	0,488758	0	150	152,177429	0	1,480999
1,35	0,509732	0	150	152,199799	0	1,480999
1,366667	0,534661	0	150	152,221863	0	1,480999
1,383333	0,558248	0	150	152,24054	0	1,480999
1,4	0,587413	0	150	152,259842	0	1,480999
1,416667	0,613472	0	150	152,276993	0	1,480999
1,433333	0,645463	0	150	152,28772	0	1,480999
1,45	0,673922	0	150	152,300278	0	1,480999
1,466667	0,704218	0	150	152,314362	0	1,480999
1,483333	0,733455	0	150	152,32785	0	1,480999
1,5	0,765587	0	150	152,340714	0	1,480999
1,516667	0,793693	0	150	152,357559	0	1,480999
1,533333	0,820811	0	150	152,366745	0	1,480999
1,55	0,850683	0	150	152,375641	0	1,480999
1,566667	0,877589	0	150	152,38176	0	1,480999
1,583333	0,906049	0	150	152,387894	0	1,480999
1,6	0,930554	0	150	152,38942	0	1,480999
1,616667	0,957813	0	150	152,395859	0	1,480999
1,633333	0,981612	0	150	152,3983	0	1,480999
1,65	1,005834	0	150	152,402588	0	1,480999
1,666667	1,027303	0	150	152,404434	0	1,480999
1,683333	1,048277	0	150	152,410858	0	1,480999
1,7	1,070381	0	150	152,41423	0	1,480999
1,716667	1,089589	0	150	152,418823	0	1,480999
1,733333	1,109857	0	150	152,423431	0	1,480999
1,75	1,126876	0	150	152,425873	0	1,480999
1,766667	1,144319	0	150	152,427719	0	1,480999
1,783333	1,159714	0	150	152,429855	0	1,480999
1,8	1,176804	0	150	152,432007	0	1,480999
1,816667	1,19107	0	150	152,434143	0	1,480999
1,833333	1,205335	0	150	152,43721	0	1,480999
1,85	1,217976	0	150	152,439667	0	1,480999
1,866667	1,22984	0	150	152,443329	0	1,480999
1,883333	1,241421	0	150	152,445786	0	1,480999
1,9	1,251873	0	150	152,446701	0	1,480999
1,916667	1,26296	0	150	152,449768	0	1,480999
1,933333	1,271929	0	150	152,45253	0	1,480999
1,95	1,28231	0	150	152,454666	0	1,480999
1,966667	1,290784	0	150	152,457428	0	1,480999
1,983333	1,299329	0	150	152,462021	0	1,480999
2	1,305473	0	150	152,464172	0	1,480999
2,016667	1,313029	0	150	152,465698	0	1,480999
